Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
2025,5.69,1.35,1.67,5.22,,,,,,,,13.93
2024,3.20,1.94,5.66,6.47,7.80,3.67,2.55,0.41,2.24,0.21,1.60,4.59,40.34
2023,1.38,3.97,2.76,3.12,2.35,0.78,0.47,T,0.83,9.63,0.47,3.55,29.31
2022,0.08,2.03,2.12,2.54,3.00,2.64,T,10.68,0.33,4.43,6.40,2.39,36.64
2021,0.85,2.22,3.03,4.50,7.77,2.15,1.50,4.82,0.25,2.96,3.11,0.43,33.59
2020,5.00,3.88,6.75,1.90,7.54,5.35,2.31,1.28,3.87,1.74,1.08,3.00,43.70
2019,1.58,1.29,2.01,6.75,8.15,4.13,0.78,2.44,T,4.42,1.80,1.17,34.52
2018,0.85,11.31,2.90,0.77,1.87,1.27,0.25,2.99,12.69,15.66,0.86,4.55,55.97
2017,4.39,2.33,1.06,3.38,0.70,8.44,4.12,4.24,0.47,2.12,0.81,4.56,36.62
2016,1.04,2.20,2.67,4.60,6.25,3.60,3.89,4.42,0.98,2.01,3.22,0.60,35.48
2015,3.62,2.96,2.53,5.56,16.96,3.95,0.92,0.46,2.14,9.82,9.86,3.83,62.61
2014,0.33,0.41,1.45,1.74,3.40,3.26,0.98,4.34,0.06,2.09,2.13,1.13,21.32
2013,4.06,1.68,2.27,1.98,3.17,2.14,2.05,1.32,2.72,3.13,2.12,2.76,29.40
2012,6.18,1.88,5.74,4.24,1.66,2.82,0.78,3.19,1.75,1.02,0.05,1.95,31.26
2011,1.60,0.92,0.07,2.46,7.95,2.84,0.09,0.96,0.66,3.12,0.86,4.35,25.88
2010,2.76,2.83,3.57,2.03,1.09,2.08,3.13,0.41,9.09,1.16,1.50,2.05,31.70
2009,0.82,0.72,5.56,3.54,4.36,3.98,2.09,1.64,6.52,8.05,1.76,1.85,40.89
2008,0.27,2.30,6.07,3.85,2.21,0.84,0.81,2.82,0.84,2.29,4.53,0.27,27.10
2007,5.58,0.43,3.81,2.82,8.34,11.10,5.54,0.35,4.99,3.53,1.22,2.34,50.05
2006,2.25,3.85,4.40,1.86,1.90,0.34,1.78,0.52,2.60,4.34,2.58,3.33,29.75
2005,4.33,1.62,2.17,0.56,3.35,1.14,0.74,2.46,1.36,0.89,0.02,0.33,18.97
2004,3.04,3.84,1.71,2.96,4.73,10.49,4.16,4.24,1.02,5.72,5.01,0.65,47.57
2003,0.22,3.07,0.85,1.90,2.53,5.17,0.08,1.85,3.99,0.78,3.15,0.96,24.55
2002,4.90,0.94,7.39,5.68,5.40,3.10,3.07,1.47,1.38,6.44,0.52,4.13,44.42
2001,2.44,6.17,5.27,0.89,5.58,1.28,3.85,2.72,3.72,1.87,1.11,3.24,38.14
2000,1.59,3.30,2.91,4.28,3.17,5.93,T,0.00,0.17,4.38,6.95,3.57,36.26
1999,1.44,0.48,2.84,2.74,6.91,0.99,0.77,T,2.30,2.26,0.31,2.55,23.59
1998,5.07,3.22,4.45,1.25,2.38,1.75,0.11,0.35,0.68,5.64,4.91,4.43,34.24
1997,0.33,7.40,2.21,6.73,3.92,3.99,1.68,3.13,2.01,5.66,1.01,6.93,45.00
1996,0.97,0.35,2.36,2.14,0.95,3.42,3.85,5.02,1.51,6.56,5.54,0.47,33.14
1995,2.11,0.44,6.69,6.83,7.50,2.41,3.45,0.86,1.54,0.75,0.74,2.07,35.39
1994,1.43,2.01,1.69,3.62,5.80,2.05,4.58,4.89,1.39,8.19,6.03,2.42,44.10
1993,1.74,5.78,3.03,3.49,1.75,3.75,0.00,0.75,3.28,5.10,1.62,2.54,32.83
1992,3.25,2.40,3.24,2.46,6.93,5.23,2.48,2.08,3.25,3.05,3.56,4.26,42.19
1991,2.72,2.60,1.35,3.63,6.97,4.26,3.99,4.30,4.61,9.32,1.04,8.75,53.54
1990,4.54,4.72,5.89,6.90,7.16,1.89,2.60,2.37,1.12,2.81,3.81,1.46,45.27
1989,2.56,3.70,3.72,1.86,9.62,8.75,2.61,1.89,2.40,2.02,0.49,0.33,39.95
1988,0.88,1.23,2.03,2.21,2.11,3.23,2.47,0.44,4.04,1.64,2.28,2.48,25.04
1987,1.22,3.67,1.70,0.11,5.95,3.45,1.77,0.81,1.38,0.12,4.17,2.90,27.25
1986,T,2.49,1.08,5.30,5.52,3.92,0.41,1.63,4.60,1.81,3.25,2.44,32.45
1985,0.81,2.62,3.70,3.75,2.13,3.78,2.40,0.53,3.35,3.91,3.11,0.61,30.70
1984,1.07,3.11,4.92,1.41,3.04,2.79,0.43,1.47,0.09,6.50,2.97,6.09,33.89
1983,2.55,1.25,4.36,0.59,5.83,2.07,1.56,5.55,0.22,4.04,2.22,0.83,31.07
1982,2.33,1.89,1.71,2.71,13.66,4.28,2.73,0.52,0.58,3.36,4.22,2.76,40.75
1981,0.58,1.44,3.39,2.69,6.24,7.85,1.81,2.32,2.40,14.18,1.53,0.17,44.60
1980,2.52,0.84,1.24,2.23,3.01,1.25,0.71,T,6.54,1.08,1.23,1.43,22.08