Year,Month,State,Geo Level,Average_High,Average_Low ,Average_Temp
2003,January,Texas,State,61.7,41.7,51.7
2003,February,Texas,State,67.5,42,54.75
2003,March,Texas,State,67,52.1,59.55
2003,April,Texas,State,78.6,59.6,69.1
2003,May,Texas,State,84.5,66,75.25
2003,June,Texas,State,90.5,70.6,80.55
2003,July,Texas,State,98,73.1,85.55
2003,August,Texas,State,96.5,75.4,85.95
2003,September,Texas,State,87.9,69.1,78.5
2003,October,Texas,State,79.7,63.4,71.55
2003,November,Texas,State,67.6,47.8,57.7
2003,December,Texas,State,60.4,42.4,51.4
2004,January,Texas,State,59.6,37.5,48.55
2004,February,Texas,State,62.8,47.6,55.2
2004,March,Texas,State,72.6,50.1,61.35
2004,April,Texas,State,78.8,58.4,68.6
2004,May,Texas,State,84.2,67.2,75.7
2004,June,Texas,State,92.7,72.6,82.65
2004,July,Texas,State,95.8,76.2,86
2004,August,Texas,State,96,75.3,85.65
2004,September,Texas,State,88.7,67,77.85
2004,October,Texas,State,78.7,64,71.35
2004,November,Texas,State,75.8,48.1,61.95
2004,December,Texas,State,65.3,39.3,52.3
2005,January,Texas,State,57.8,37.5,47.65
2005,February,Texas,State,64.9,42.6,53.75
2005,March,Texas,State,68.2,50.1,59.15
2005,April,Texas,State,79.9,56.1,68
2005,May,Texas,State,82.5,64.7,73.6
2005,June,Texas,State,96.4,70.2,83.3
2005,July,Texas,State,94.6,74.8,84.7
2005,August,Texas,State,97.5,73.4,85.45
2005,September,Texas,State,87.1,68,77.55
2005,October,Texas,State,80,61.2,70.6
2005,November,Texas,State,70.1,49,59.55
2005,December,Texas,State,64,43.6,53.8
2006,January,Texas,State,58.3,37.8,48.05
2006,February,Texas,State,67.1,40.2,53.65
2006,March,Texas,State,73.5,50.4,61.95
2006,April,Texas,State,77.6,55.7,66.65
2006,May,Texas,State,85.9,66,75.95
2006,June,Texas,State,92.9,70.4,81.65
2006,July,Texas,State,98.8,76,87.4
2006,August,Texas,State,95.8,75.7,85.75
2006,September,Texas,State,89.3,70.7,80
2006,October,Texas,State,81.6,58.9,70.25
2006,November,Texas,State,69.2,47.9,58.55
2006,December,Texas,State,60.2,42.2,51.2
2007,January,Texas,State,59.6,40,49.8
2007,February,Texas,State,62.8,44.3,53.55
2007,March,Texas,State,73,49.6,61.3
2007,April,Texas,State,75.8,60.5,68.15
2007,May,Texas,State,85.8,63.6,74.7
2007,June,Texas,State,94.8,74,84.4
2007,July,Texas,State,94.8,75.5,85.15
2007,August,Texas,State,93,76.1,84.55
2007,September,Texas,State,88.3,75,81.65
2007,October,Texas,State,82.7,59.1,70.9
2007,November,Texas,State,68.3,49.8,59.05
2007,December,Texas,State,61,40.6,50.8
2008,January,Texas,State,63.3,39.9,51.6
2008,February,Texas,State,65.7,39.8,52.75
2008,March,Texas,State,73.9,47.9,60.9
2008,April,Texas,State,74.7,53.2,63.95
2008,May,Texas,State,83.1,61.6,72.35
2008,June,Texas,State,90.3,71.7,81
2008,July,Texas,State,92,74.2,83.1
2008,August,Texas,State,96.3,80.1,88.2
2008,September,Texas,State,91.8,72.9,82.35
2008,October,Texas,State,80.7,56.1,68.4
2008,November,Texas,State,67.2,49.2,58.2
2008,December,Texas,State,62.5,42.4,52.45
2009,January,Texas,State,56.8,39.3,48.05
2009,February,Texas,State,66.2,42.2,54.2
2009,March,Texas,State,75.5,53.1,64.3
2009,April,Texas,State,79,58.6,68.8
2009,May,Texas,State,83.2,64.9,74.05
2009,June,Texas,State,93.1,78.7,85.9
2009,July,Texas,State,97.7,77.7,87.7
2009,August,Texas,State,97.5,74.4,85.95
2009,September,Texas,State,87.8,70.5,79.15
2009,October,Texas,State,81.1,60.9,71
2009,November,Texas,State,69.1,46.4,57.75
2009,December,Texas,State,61.3,37.6,49.45
2010,January,Texas,State,59.1,39.7,49.4
2010,February,Texas,State,66,42.5,54.25
2010,March,Texas,State,69.5,47.3,58.4
2010,April,Texas,State,79,55.7,67.35
2010,May,Texas,State,87,61.5,74.25
2010,June,Texas,State,93.1,71.7,82.4
2010,July,Texas,State,92.3,74.7,83.5
2010,August,Texas,State,96.3,77.5,86.9
2010,September,Texas,State,90.6,70.5,80.55
2010,October,Texas,State,83.6,58.4,71
2010,November,Texas,State,70.7,48.8,59.75
2010,December,Texas,State,59.4,43.6,51.5
2011,January,Texas,State,61.7,38.8,50.25
2011,February,Texas,State,63.1,41.8,52.45
2011,March,Texas,State,69.2,53,61.1
2011,April,Texas,State,78.5,61.3,69.9
2011,May,Texas,State,82.3,64.5,73.4
2011,June,Texas,State,93.6,73,83.3
2011,July,Texas,State,95.3,74.2,84.75
2011,August,Texas,State,93.4,74.8,84.1
2011,September,Texas,State,88,69.1,78.55
2011,October,Texas,State,79.5,60.9,70.2
2011,November,Texas,State,66.9,48,57.45
2011,December,Texas,State,63.1,39.7,51.4
2012,January,Texas,State,61.7,39.3,50.5
2012,February,Texas,State,65.7,43.7,54.7
2012,March,Texas,State,68.3,50.3,59.3
2012,April,Texas,State,78.9,59.9,69.4
2012,May,Texas,State,86.1,64,75.05
2012,June,Texas,State,92.8,72.7,82.75
2012,July,Texas,State,94.3,73.7,84
2012,August,Texas,State,98.8,76.5,87.65
2012,September,Texas,State,87.8,72.5,80.15
2012,October,Texas,State,75.3,61.1,68.2
2012,November,Texas,State,73.4,49.9,61.65
2012,December,Texas,State,58.1,39.7,48.9
2013,January,Texas,State,62.2,41,51.6
2013,February,Texas,State,61.3,42.4,51.85
2013,March,Texas,State,72.2,50.1,61.15
2013,April,Texas,State,78.4,57.6,68
2013,May,Texas,State,88.5,65,76.75
2013,June,Texas,State,93.1,76.8,84.95
2013,July,Texas,State,95,74.9,84.95
2013,August,Texas,State,96,77.7,86.85
2013,September,Texas,State,86,70.9,78.45
2013,October,Texas,State,81.3,57.3,69.3
2013,November,Texas,State,67,45.6,56.3
2013,December,Texas,State,59.2,42.9,51.05
2014,January,Texas,State,60.7,36.4,48.55
2014,February,Texas,State,61,42.1,51.55
2014,March,Texas,State,70,50.8,60.4
2014,April,Texas,State,76.6,57.2,66.9
2014,May,Texas,State,82.7,66.2,74.45
2014,June,Texas,State,89.7,72.4,81.05
2014,July,Texas,State,93.1,74.6,83.85
2014,August,Texas,State,98.5,74.9,86.7
2014,September,Texas,State,89.9,72.7,81.3
2014,October,Texas,State,79.3,64.6,71.95
2014,November,Texas,State,69.8,47.9,58.85
2014,December,Texas,State,58.2,38.3,48.25
2015,January,Texas,State,58.4,36.3,47.35
2015,February,Texas,State,65.8,42.8,54.3
2015,March,Texas,State,68.4,48,58.2
2015,April,Texas,State,77.2,58,67.6
2015,May,Texas,State,85.1,67.4,76.25
2015,June,Texas,State,93.9,68,80.95
2015,July,Texas,State,94.5,74.3,84.4
2015,August,Texas,State,96,76.6,86.3
2015,September,Texas,State,88.7,70.3,79.5
2015,October,Texas,State,77.2,59.1,68.15
2015,November,Texas,State,65.2,47.9,56.55
2015,December,Texas,State,59.9,41.1,50.5
2016,January,Texas,State,57.3,39.1,48.2
2016,February,Texas,State,64.7,41.6,53.15
2016,March,Texas,State,67.9,50.6,59.25
2016,April,Texas,State,73.9,59.5,66.7
2016,May,Texas,State,81.8,64.2,73
2016,June,Texas,State,88.7,71.3,80
2016,July,Texas,State,97.5,74.7,86.1
2016,August,Texas,State,96.2,77.1,86.65
2016,September,Texas,State,93.9,69.6,81.75
2016,October,Texas,State,85.8,60.8,73.3
2016,November,Texas,State,71,45.5,58.25
2016,December,Texas,State,57.7,39,48.35
2017,January,Texas,State,61.1,43.2,52.15
2017,February,Texas,State,65.4,41.8,53.6
2017,March,Texas,State,74.1,49,61.55
2017,April,Texas,State,79.7,57.8,68.75
2017,May,Texas,State,86.6,68.3,77.45
2017,June,Texas,State,90.7,71.1,80.9
2017,July,Texas,State,97.7,73.9,85.8
2017,August,Texas,State,94.1,78.9,86.5
2017,September,Texas,State,92.5,69.6,81.05
2017,October,Texas,State,82.8,59,70.9
2017,November,Texas,State,70.9,47,58.95
2017,December,Texas,State,61.5,38.6,50.05
2018,January,Texas,State,60,36.7,48.35
2018,February,Texas,State,63.3,44.9,54.1
2018,March,Texas,State,71.7,51.3,61.5
2018,April,Texas,State,83.1,57.5,70.3
2018,May,Texas,State,85.9,64.2,75.05
2018,June,Texas,State,93,72.7,82.85
2018,July,Texas,State,100.8,76.7,88.75
2018,August,Texas,State,98.4,74.4,86.4
2018,September,Texas,State,91.5,70.9,81.2
2018,October,Texas,State,81.8,59.6,70.7
2018,November,Texas,State,70.6,46.1,58.35
2018,December,Texas,State,61.8,40.7,51.25
2019,January,Texas,State,57.6,42.1,49.85
2019,February,Texas,State,64.7,44.9,54.8
2019,March,Texas,State,70.3,50.7,60.5
2019,April,Texas,State,75,60.1,67.55
2019,May,Texas,State,87.2,66.9,77.05
2019,June,Texas,State,90,71.4,80.7
2019,July,Texas,State,96.4,71.8,84.1
2019,August,Texas,State,96.3,77,86.65
2019,September,Texas,State,88.6,71.9,80.25
2019,October,Texas,State,79.7,57.5,68.6
2019,November,Texas,State,70.8,46.1,58.45
2019,December,Texas,State,61.1,42.2,51.65
2020,January,Texas,State,61.2,36.9,49.05
2020,February,Texas,State,61.9,47.5,54.7
2020,March,Texas,State,69.7,51.7,60.7
2020,April,Texas,State,74.5,59.1,66.8
2020,May,Texas,State,86.8,64,75.4
2020,June,Texas,State,94.3,72.1,83.2
2020,July,Texas,State,95,77.7,86.35
2020,August,Texas,State,95.7,76.3,86
2020,September,Texas,State,90.9,66.5,78.7
2020,October,Texas,State,78.3,56.8,67.55
2020,November,Texas,State,70.6,47.6,59.1
2020,December,Texas,State,60.3,43.7,52
2021,January,Texas,State,58.6,37.5,48.05
2021,February,Texas,State,63.7,45.6,54.65
2021,March,Texas,State,71.8,50.4,61.1
2021,April,Texas,State,78.9,56.1,67.5
2021,May,Texas,State,84.2,64.1,74.15
2021,June,Texas,State,92.7,73.5,83.1
2021,July,Texas,State,96.9,75.6,86.25
2021,August,Texas,State,99.3,75.6,87.45
2021,September,Texas,State,88.1,70.2,79.15
2021,October,Texas,State,84.5,64.1,74.3
2021,November,Texas,State,69.1,48.6,58.85
2021,December,Texas,State,57.3,43,50.15
2022,January,Texas,State,61.9,37.7,49.8
2022,February,Texas,State,64.7,45.7,55.2
2022,March,Texas,State,70.4,48.6,59.5
2022,April,Texas,State,80.1,58.2,69.15
2022,May,Texas,State,85.6,66.6,76.1
2022,June,Texas,State,92.3,75.8,84.05
2022,July,Texas,State,96.6,75,85.8
2022,August,Texas,State,99.9,78,88.95
2022,September,Texas,State,89.7,71.5,80.6
2022,October,Texas,State,84,60.6,72.3
2022,November,Texas,State,70.7,49.3,60
2022,December,Texas,State,62.9,39.3,51.1
